,open,high,low,close,volume
2023-02-28,1.5,1.5829,1.5,1.52,159395.0
2023-03-01,1.51,1.58,1.51,1.56,84446.0
2023-03-02,1.59,1.635,1.56,1.6,188988.0
2023-03-03,1.8,1.8,1.56,1.66,228237.0
2023-03-06,1.67,1.685,1.595,1.62,146737.0
2023-03-07,1.65,1.675,1.6,1.63,77308.0
2023-03-08,1.67,1.67,1.53,1.55,95516.0
2023-03-09,1.57,1.6,1.52,1.53,348503.0
2023-03-10,1.55,1.55,1.37,1.38,338660.0
2023-03-13,1.48,1.64,1.45,1.59,309646.0
2023-03-14,1.58,1.63,1.5075,1.57,193943.0
2023-03-15,1.59,1.59,1.53,1.56,82583.0
2023-03-16,1.5,1.6,1.42,1.53,185276.0
2023-03-17,1.53,1.6,1.5,1.58,371142.0
2023-03-20,1.64,1.64,1.54,1.59,153403.0
2023-03-21,1.62,1.7,1.59,1.68,140344.0
2023-03-22,1.68,1.7,1.5593,1.6,152494.0
2023-03-23,1.6,1.65,1.6,1.64,53007.0
2023-03-24,1.62,1.66,1.6,1.64,53770.0
2023-03-27,1.63,1.7,1.6,1.68,197745.0
2023-03-28,1.68,1.7,1.62,1.63,58549.0
2023-03-29,1.62,1.65,1.51,1.57,222443.0
2023-03-30,1.59,1.63,1.5501,1.6,115493.0
2023-03-31,1.58,1.71,1.5585,1.69,206903.0
2023-04-03,1.66,1.7,1.6,1.64,83526.0
2023-04-04,1.64,1.65,1.56,1.59,84743.0
2023-04-05,1.61,1.62,1.55,1.58,34625.0
2023-04-06,1.58,1.629,1.54,1.61,53950.0
2023-04-10,1.6,1.62,1.55,1.59,69531.0
2023-04-11,1.58,1.625,1.56,1.58,82588.0
2023-04-12,1.61,1.61,1.56,1.58,51438.0
2023-04-13,1.56,1.62,1.5,1.56,182893.0
2023-04-14,1.6,1.6,1.46,1.5,80623.0
2023-04-17,1.47,1.49,1.43,1.46,60991.0
2023-04-18,1.47,1.47,1.44,1.45,65299.0
2023-04-19,1.45,1.47,1.42,1.45,41397.0
2023-04-20,1.43,1.47,1.43,1.46,31955.0
2023-04-21,1.43,1.59,1.43,1.56,103935.0
2023-04-24,1.53,1.57,1.45,1.46,115577.0
2023-04-25,1.45,1.48,1.45,1.46,33124.0
2023-04-26,1.46,1.48,1.42,1.43,43380.0
2023-04-27,1.44,1.49,1.43,1.49,38045.0
2023-04-28,1.52,1.52,1.4816,1.5,33851.0
2023-05-01,1.48,1.52,1.43,1.5,86343.0
2023-05-02,1.51,1.51,1.4401,1.47,50718.0
2023-05-03,1.45,1.48,1.4003,1.43,61379.0
2023-05-04,1.45,1.46,1.38,1.44,55424.0
2023-05-05,1.46,1.47,1.4103,1.46,54553.0
2023-05-08,1.44,1.47,1.4,1.41,63841.0
2023-05-09,1.4,1.45,1.375,1.45,47636.0
2023-05-10,1.4,1.41,1.29,1.4,153741.0
2023-05-11,1.38,1.39,1.325,1.37,113789.0
2023-05-12,1.34,1.37,1.3,1.3,235982.0
2023-05-15,1.28,1.38,1.2,1.36,168075.0
2023-05-16,1.38,1.4,1.345,1.39,63700.0
2023-05-17,1.3853,1.39,1.35,1.38,58860.0
2023-05-18,1.37,1.41,1.3276,1.4,119911.0
2023-05-19,1.45,1.45,1.35,1.44,106602.0
2023-05-22,1.44,1.48,1.4228,1.47,120920.0
2023-05-23,1.46,1.5599,1.45,1.54,152123.0
2023-05-24,1.53,1.53,1.49,1.51,52814.0
2023-05-25,1.53,1.58,1.49,1.56,69114.0
2023-05-26,1.56,1.66,1.51,1.65,195257.0
2023-05-30,1.65,1.65,1.51,1.58,124296.0
2023-05-31,1.58,1.78,1.55,1.75,207177.0
2023-06-01,1.75,1.9,1.7,1.8,659697.0
2023-06-02,1.83,1.85,1.6,1.78,243934.0
2023-06-05,1.74,1.89,1.69,1.745,95175.0
2023-06-06,1.71,1.79,1.6606,1.75,289714.0
2023-06-07,1.76,1.77,1.7,1.73,135075.0
2023-06-08,1.72,1.72,1.5801,1.66,180437.0
2023-06-09,1.63,1.72,1.59,1.65,71367.0
2023-06-12,1.64,1.74,1.6394,1.66,103771.0
2023-06-13,1.67,1.79,1.67,1.71,137067.0
2023-06-14,1.7,1.77,1.54,1.55,254605.0
2023-06-15,1.53,1.65,1.43,1.47,649148.0
2023-06-16,1.5,1.58,1.43,1.47,370204.0
2023-06-20,1.43,1.47,1.36,1.44,608751.0
2023-06-21,1.42,1.44,1.32,1.35,382362.0
2023-06-22,1.34,1.37,1.32,1.33,165199.0
2023-06-23,1.31,1.93,1.31,1.75,6335453.0
2023-06-26,1.62,1.64,1.47,1.53,461574.0
2023-06-27,1.51,1.53,1.45,1.47,245077.0
2023-06-28,1.47,1.48,1.37,1.43,404020.0
2023-06-29,1.41,1.45,1.37,1.41,256660.0
2023-06-30,1.48,1.49,1.39,1.4,150736.0
2023-07-03,1.4,1.45,1.36,1.37,82860.0
2023-07-05,1.37,1.47,1.37,1.44,362509.0
2023-07-06,1.44,1.44,1.37,1.4,133946.0
2023-07-07,1.4,1.42,1.38,1.41,109038.0
2023-07-10,1.39,1.45,1.38,1.42,179932.0
2023-07-11,1.42,1.425,1.28,1.3,825395.0
2023-07-12,1.29,1.31,1.15,1.28,2160305.0
2023-07-13,1.27,1.31,1.26,1.31,822733.0
2023-07-14,1.27,1.42,1.25,1.39,1713054.0
2023-07-17,1.42,1.56,1.37,1.5,2160824.0
2023-07-18,1.51,1.52,1.42,1.45,260258.0
2023-07-19,1.47,1.505,1.43,1.49,237967.0
2023-07-20,1.51,1.51,1.4315,1.5,114908.0
2023-07-21,1.47,1.53,1.453,1.5,82109.0
